arch,train_source,test_source,setting,n,macro_auc,macro_f1,accuracy,macro_sensitivity,macro_specificity
Custom CNN,chex,chex,within,2223,0.797984955454698,0.5803084291050394,0.893387314439946,0.9848714069591528,0.1375
Custom CNN,chex,nih,cross,2032,0.5628702730185056,0.500798797848782,0.5108267716535433,0.7559863169897377,0.3246753246753247
Custom CNN,chex,vinbig,cross,2250,0.6709554598180776,0.4852015449288351,0.48533333333333334,0.8012139605462822,0.35449402891263354
Custom CNN,nih,chex,cross,2223,0.7632732391998656,0.5339901772879732,0.8929374718848403,0.9924357034795764,0.07083333333333333
Custom CNN,nih,nih,within,2032,0.685988735703673,0.6318854115723427,0.6363188976377953,0.6100342075256556,0.6562770562770562
Custom CNN,nih,vinbig,cross,2250,0.6954082571826157,0.6131699953959215,0.6328888888888888,0.6949924127465857,0.6071653048397234
Custom CNN,vinbig,chex,cross,2223,0.3707808034963859,0.14769130952682666,0.1493477282950967,0.059001512859304085,0.8958333333333334
Custom CNN,vinbig,nih,cross,2032,0.46052560134658194,0.42849575836695664,0.5275590551181102,0.12884834663625996,0.8303030303030303
Custom CNN,vinbig,vinbig,within,2250,0.9238842540885805,0.816422260972518,0.8591111111111112,0.6433990895295902,0.9484600879949717
EfficientNetB0,chex,chex,within,2223,0.7980248781307783,0.6447719354185142,0.8052181736392263,0.8280383257690368,0.6166666666666667
EfficientNetB0,chex,nih,cross,2032,0.6934373873940578,0.6464409996836444,0.6535433070866141,0.5929304446978335,0.6995670995670996
EfficientNetB0,chex,vinbig,cross,2250,0.7458093658467727,0.6737623358616752,0.744,0.4779969650986343,0.8541797611565053
EfficientNetB0,nih,chex,cross,2223,0.6498844343587158,0.5568432359093222,0.7588843904633378,0.8038325769036813,0.3875
EfficientNetB0,nih,nih,within,2032,0.7228400637750695,0.6647944715804525,0.6786417322834646,0.5507411630558723,0.7757575757575758
EfficientNetB0,nih,vinbig,cross,2250,0.778539947294579,0.6888105670540801,0.7231111111111111,0.6676783004552352,0.7460716530483973
EfficientNetB0,vinbig,chex,cross,2223,0.7051794419230123,0.5677290090629915,0.8785425101214575,0.967725668179526,0.14166666666666666
EfficientNetB0,vinbig,nih,cross,2032,0.6916085434899575,0.6261822324290588,0.6264763779527559,0.69327251995439,0.5757575757575758
EfficientNetB0,vinbig,vinbig,within,2250,0.9730530897909238,0.9129132118994998,0.9293333333333333,0.8452200303490136,0.9641734758013828
MobileNetV2,chex,chex,within,2223,0.769110354681459,0.6409853866525679,0.8340080971659919,0.8784669692385275,0.4666666666666667
MobileNetV2,chex,nih,cross,2032,0.6564942469161397,0.6135758552028101,0.6151574803149606,0.6385404789053591,0.5974025974025974
MobileNetV2,chex,vinbig,cross,2250,0.7233652115608569,0.6545381558990864,0.6933333333333334,0.6115326251896813,0.7272155876807039
MobileNetV2,nih,chex,cross,2223,0.7549987392839133,0.5963577793975876,0.7498875393612235,0.7660110943015633,0.6166666666666667
MobileNetV2,nih,nih,within,2032,0.7026561427929728,0.6176287375415282,0.65748031496063,0.38768529076396807,0.8623376623376623
MobileNetV2,nih,vinbig,cross,2250,0.780934867888321,0.6427471660347581,0.7653333333333333,0.30652503793626706,0.9553739786297926
MobileNetV2,vinbig,chex,cross,2223,0.6742015464783998,0.532928227370807,0.8915879442195231,0.9909228441754917,0.07083333333333333
MobileNetV2,vinbig,nih,cross,2032,0.6782202214357289,0.5376445314904339,0.5561023622047244,0.8757126567844926,0.31341991341991343
MobileNetV2,vinbig,vinbig,within,2250,0.9231670178135929,0.7390278172199951,0.7502222222222222,0.9271623672230652,0.6769327467001885
ResNet50,chex,chex,within,2223,0.8151811228777945,0.660008599802771,0.8663967611336032,0.9223398890569844,0.4041666666666667
ResNet50,chex,nih,cross,2032,0.679465118689748,0.6025039123630673,0.6289370078740157,0.4298745724059293,0.78008658008658
ResNet50,chex,vinbig,cross,2250,0.7468279939607179,0.6106084527568618,0.7466666666666667,0.26555386949924126,0.9459459459459459
ResNet50,nih,chex,cross,2223,0.7586243486300217,0.6163533834586467,0.8587494376968061,0.9268784669692385,0.29583333333333334
ResNet50,nih,nih,within,2032,0.726235148356015,0.6665681449558611,0.6806102362204725,0.5507411630558723,0.7792207792207793
ResNet50,nih,vinbig,cross,2250,0.7795662055816625,0.6897269597245577,0.752,0.5189681335356601,0.8485229415461973
ResNet50,vinbig,chex,cross,2223,0.7395223987224744,0.5857014366628582,0.844804318488529,0.9167927382753404,0.25
ResNet50,vinbig,nih,cross,2032,0.7080533301741967,0.6636618283677107,0.6673228346456693,0.6522234891676169,0.6787878787878788
ResNet50,vinbig,vinbig,within,2250,0.9813938228025816,0.9304401126492859,0.9435555555555556,0.8694992412746586,0.9742300439974858
