arch,source_a,source_b,through_model_trained_on,mmd_squared,mmd
Custom CNN,chex,nih,chex,0.3313974,0.57567126
Custom CNN,chex,nih,nih,0.5099491,0.7141072
Custom CNN,chex,vinbig,chex,0.33638752,0.57998925
Custom CNN,chex,vinbig,vinbig,0.21180719,0.46022516
Custom CNN,nih,vinbig,nih,0.019237518,0.13869938
Custom CNN,nih,vinbig,vinbig,0.06195581,0.24890924
EfficientNetB0,chex,nih,chex,0.09992981,0.31611678
EfficientNetB0,chex,nih,nih,0.193151,0.43948948
EfficientNetB0,chex,vinbig,chex,0.1823113,0.42697927
EfficientNetB0,chex,vinbig,vinbig,0.34161657,0.58447975
EfficientNetB0,nih,vinbig,nih,0.06966579,0.26394278
EfficientNetB0,nih,vinbig,vinbig,0.08923185,0.298717
MobileNetV2,chex,nih,chex,0.15359604,0.39191332
MobileNetV2,chex,nih,nih,0.29459566,0.5427667
MobileNetV2,chex,vinbig,chex,0.22287929,0.47210094
MobileNetV2,chex,vinbig,vinbig,0.35732967,0.5977706
MobileNetV2,nih,vinbig,nih,0.02116859,0.1454943
MobileNetV2,nih,vinbig,vinbig,0.07288408,0.26997054
ResNet50,chex,nih,chex,0.3452438,0.58757454
ResNet50,chex,nih,nih,0.26831043,0.5179869
ResNet50,chex,vinbig,chex,0.5755034,0.7586194
ResNet50,chex,vinbig,vinbig,0.36458194,0.6038062
ResNet50,nih,vinbig,nih,0.06881237,0.2623211
ResNet50,nih,vinbig,vinbig,0.11423051,0.33798006
