model,source,n,auc,accuracy,sensitivity,specificity
CustomCNN,chex,2223,0.7743328710707682,0.8920377867746289,1.0,0.0
CustomCNN,nih,2032,0.6717706466851278,0.593503937007874,0.7172177879133409,0.49956709956709955
CustomCNN,vinbig,2250,0.9241474950618473,0.8528888888888889,0.787556904400607,0.8799497171590195
EfficientNetB0,chex,2223,0.8052760968229955,0.8830409356725146,0.9687342410489158,0.175
EfficientNetB0,nih,2032,0.7254868278813547,0.6771653543307087,0.47206385404789053,0.8329004329004329
EfficientNetB0,vinbig,2250,0.9632893294889977,0.9235555555555556,0.7890743550834598,0.9792583280955374
MobileNetV2,chex,2223,0.8176185073121534,0.8906882591093117,0.989409984871407,0.075
MobileNetV2,nih,2032,0.7201745422954089,0.6796259842519685,0.5142531356898518,0.8051948051948052
MobileNetV2,vinbig,2250,0.9637147116414505,0.9204444444444444,0.8012139605462822,0.9698302954116907
ResNet50,chex,2223,0.8336190956463272,0.8969860548807917,0.9964699949571356,0.075
ResNet50,nih,2032,0.7377136736315756,0.687992125984252,0.5051311288483467,0.8268398268398268
ResNet50,vinbig,2250,0.978143369045723,0.9364444444444444,0.8406676783004552,0.9761156505342552
