arch,train_source,test_source,auc_drop,acc_drop,mmd
Custom CNN,chex,nih,0.2351146824361925,0.3825605427864027,0.39238724
Custom CNN,chex,vinbig,0.12702949563662047,0.40805398110661273,0.4050869
Custom CNN,nih,chex,-0.07728450349619254,-0.25661857424704504,0.43962806
Custom CNN,nih,vinbig,-0.00941952147894265,0.0034300087489064213,0.10765467
Custom CNN,vinbig,chex,0.5531034505921946,0.7097633828160145,0.20931724
Custom CNN,vinbig,nih,0.46335865274199856,0.33155205599300097,0.14463802
EfficientNetB0,chex,nih,0.10458749073672047,0.1516748665526122,0.26352897
EfficientNetB0,chex,vinbig,0.05221551228400556,0.061218173639226325,0.35089046
EfficientNetB0,nih,chex,0.0729556294163537,-0.0802426581798732,0.40093273
EfficientNetB0,nih,vinbig,-0.0556998835195095,-0.044469378827646566,0.20862813
EfficientNetB0,vinbig,chex,0.26787364786791146,0.05079082321187578,0.50335085
EfficientNetB0,vinbig,nih,0.28144454630096627,0.30285695538057733,0.23130156
MobileNetV2,chex,nih,0.11261610776531938,0.21885061685103124,0.3028255
MobileNetV2,chex,vinbig,0.04574514312060218,0.14067476383265853,0.37008643
MobileNetV2,nih,chex,-0.05234259649094042,-0.09240722440059357,0.43115538
MobileNetV2,nih,vinbig,-0.07827872509534817,-0.10785301837270334,0.09732977
MobileNetV2,vinbig,chex,0.24896547133519298,-0.1413657219973009,0.3858468
MobileNetV2,vinbig,nih,0.24494679637786387,0.19411986001749781,0.21942689
ResNet50,chex,nih,0.13571600418804652,0.23745975325958746,0.39515516
ResNet50,chex,vinbig,0.06835312891707668,0.1197300944669365,0.4997193
ResNet50,nih,chex,-0.03238920027400671,-0.17813920147633366,0.48221907
ResNet50,nih,vinbig,-0.05333105722564746,-0.07138976377952755,0.1258568
ResNet50,vinbig,chex,0.2418714240801072,0.0987512370670266,0.51989746
ResNet50,vinbig,nih,0.2733404926283849,0.27623272090988626,0.23810458
