arch,train_source,test_source,setting,n,macro_auc,macro_f1,accuracy,macro_sensitivity,macro_specificity,qwk
Custom CNN,aptos,aptos,within,550,0.842654976970268,0.4574545993604409,0.7,0.47207182434565065,0.9214856357123749,0.6599899597293073
Custom CNN,aptos,eyepacs,cross,550,0.47953421067714014,0.19204189819250178,0.7090909090909091,0.2254125412541254,0.8116866871305677,0.07638077509555019
Custom CNN,aptos,messidor,cross,263,0.5405972780881714,0.24190543903306078,0.5741444866920152,0.25776143790849676,0.8151965365086438,0.21340870062965078
Custom CNN,eyepacs,aptos,cross,550,0.44680236581878124,0.08571428571428572,0.2727272727272727,0.2,0.8,0.0
Custom CNN,eyepacs,eyepacs,within,550,0.581644753758827,0.054631083202511775,0.15818181818181817,0.2,0.8,0.0
Custom CNN,eyepacs,messidor,cross,263,0.4461056249472614,0.0617363344051447,0.18250950570342206,0.2,0.8,0.0
Custom CNN,messidor,aptos,cross,550,0.4644538816350985,0.1320341047503045,0.49272727272727274,0.2,0.8,0.0
Custom CNN,messidor,eyepacs,cross,550,0.46926990403838253,0.16939203354297694,0.7345454545454545,0.2,0.8,0.0
Custom CNN,messidor,messidor,within,263,0.6389694918569607,0.14711538461538462,0.5817490494296578,0.2,0.8,0.0
EfficientNetB0,aptos,aptos,within,550,0.8882633201510677,0.4978445346846752,0.6727272727272727,0.5378438269962638,0.9184573014129029,0.7456191450356935
EfficientNetB0,aptos,eyepacs,cross,550,0.6562153260015186,0.26368056244010446,0.7290909090909091,0.3045635598042563,0.8215507419742986,0.304682840090183
EfficientNetB0,aptos,messidor,cross,263,0.7360999356660072,0.31308390022675736,0.6007604562737643,0.3273453690419257,0.8169966530596453,0.27252120551113346
EfficientNetB0,eyepacs,aptos,cross,550,0.6294841984050781,0.25703500551212366,0.37272727272727274,0.3043914821235091,0.846898718307765,0.4501052532913622
EfficientNetB0,eyepacs,eyepacs,within,550,0.6870890498781608,0.2603507694695959,0.6309090909090909,0.3150716155359378,0.8376564936684983,0.3117773662345462
EfficientNetB0,eyepacs,messidor,cross,263,0.7294572941971652,0.3513106604592441,0.5779467680608364,0.4027777777777778,0.8302749168780739,0.40174039936907846
EfficientNetB0,messidor,aptos,cross,550,0.5971943065896766,0.194024079185305,0.28,0.2442325709240075,0.8321324026709351,0.3616707127380858
EfficientNetB0,messidor,eyepacs,cross,550,0.7167553052355891,0.29623622843494735,0.6581818181818182,0.3290064868555821,0.8413009088172669,0.39511789525205154
EfficientNetB0,messidor,messidor,within,263,0.8162969483709432,0.5147387251671217,0.6083650190114068,0.584180216802168,0.8820376017472562,0.6621235110944282
MobileNetV2,aptos,aptos,within,550,0.9065666244587895,0.4380938370459685,0.6327272727272727,0.5010484050877231,0.8988574687974202,0.7171660724132141
MobileNetV2,aptos,eyepacs,cross,550,0.6566953752179063,0.2750140002621326,0.7418181818181818,0.284642084898145,0.8103932105302721,0.22109019421501075
MobileNetV2,aptos,messidor,cross,263,0.6918611963839336,0.24411764705882355,0.596958174904943,0.28888888888888886,0.8113958482462419,0.27953978206611063
MobileNetV2,eyepacs,aptos,cross,550,0.6405080267143992,0.2433887703305179,0.3381818181818182,0.3067328857256329,0.8420849978578093,0.4312483614709517
MobileNetV2,eyepacs,eyepacs,within,550,0.6640926272285999,0.2768531644789163,0.5581818181818182,0.3352197239428376,0.8310667178562652,0.32782235189237374
MobileNetV2,eyepacs,messidor,cross,263,0.7124623919653034,0.38801210709847844,0.5551330798479087,0.48263191455443966,0.8418667833160166,0.47268634141193855
MobileNetV2,messidor,aptos,cross,550,0.6680840469530963,0.2890366251203017,0.48363636363636364,0.3048283133077636,0.8421439054366147,0.5319426650622872
MobileNetV2,messidor,eyepacs,cross,550,0.6822440447419782,0.24278739948033073,0.7254545454545455,0.24030645921735033,0.8058999490974017,0.11425335362616351
MobileNetV2,messidor,messidor,within,263,0.8019712298431847,0.37680747974865625,0.6083650190114068,0.36067471704128806,0.8397210241501124,0.46815511485546246
ResNet50,aptos,aptos,within,550,0.9133834574347988,0.6062513668173156,0.7727272727272727,0.6203984837743586,0.9426834202593104,0.8480929168427236
ResNet50,aptos,eyepacs,cross,550,0.6672618613865329,0.24588139558539313,0.7054545454545454,0.24014274333837324,0.8176491836766221,0.22513819265999235
ResNet50,aptos,messidor,cross,263,0.7790912526481164,0.35094635322483425,0.6121673003802282,0.333578431372549,0.8237399407697887,0.33894706563204147
ResNet50,eyepacs,aptos,cross,550,0.6431392348117706,0.22512873557938334,0.30363636363636365,0.28510495701016125,0.8325756119181179,0.5351700624686575
ResNet50,eyepacs,eyepacs,within,550,0.7190689880826018,0.34864884295452536,0.5509090909090909,0.40842705945471397,0.8465899322296015,0.4015946745466894
ResNet50,eyepacs,messidor,cross,263,0.6913664258781218,0.3978038922729188,0.5209125475285171,0.41423561294436473,0.8234103100391181,0.3902615272517057
ResNet50,messidor,aptos,cross,550,0.627451682148306,0.21244597355354525,0.24909090909090909,0.25083619188632544,0.8196959331415113,0.45182031897385366
ResNet50,messidor,eyepacs,cross,550,0.6906755427310962,0.22574011810063538,0.4581818181818182,0.26186476775756395,0.8242123964709205,0.3270201413257703
ResNet50,messidor,messidor,within,263,0.8315080276791148,0.5108738863035802,0.49809885931558934,0.5778813964610234,0.8700646748350167,0.660681479015179
