model,true,pred,count
Custom CNN,0,0,810
Custom CNN,0,1,6
Custom CNN,0,2,0
Custom CNN,0,3,7
Custom CNN,0,4,5
Custom CNN,1,0,92
Custom CNN,1,1,34
Custom CNN,1,2,0
Custom CNN,1,3,4
Custom CNN,1,4,2
Custom CNN,2,0,211
Custom CNN,2,1,43
Custom CNN,2,2,0
Custom CNN,2,3,20
Custom CNN,2,4,11
Custom CNN,3,0,37
Custom CNN,3,1,13
Custom CNN,3,2,0
Custom CNN,3,3,3
Custom CNN,3,4,0
Custom CNN,4,0,44
Custom CNN,4,1,15
Custom CNN,4,2,0
Custom CNN,4,3,5
Custom CNN,4,4,1
EfficientNetB0,0,0,740
EfficientNetB0,0,1,25
EfficientNetB0,0,2,36
EfficientNetB0,0,3,8
EfficientNetB0,0,4,19
EfficientNetB0,1,0,68
EfficientNetB0,1,1,19
EfficientNetB0,1,2,24
EfficientNetB0,1,3,6
EfficientNetB0,1,4,15
EfficientNetB0,2,0,102
EfficientNetB0,2,1,29
EfficientNetB0,2,2,83
EfficientNetB0,2,3,31
EfficientNetB0,2,4,40
EfficientNetB0,3,0,13
EfficientNetB0,3,1,1
EfficientNetB0,3,2,15
EfficientNetB0,3,3,15
EfficientNetB0,3,4,9
EfficientNetB0,4,0,11
EfficientNetB0,4,1,1
EfficientNetB0,4,2,10
EfficientNetB0,4,3,15
EfficientNetB0,4,4,28
MobileNetV2,0,0,711
MobileNetV2,0,1,104
MobileNetV2,0,2,6
MobileNetV2,0,3,2
MobileNetV2,0,4,5
MobileNetV2,1,0,50
MobileNetV2,1,1,71
MobileNetV2,1,2,9
MobileNetV2,1,3,0
MobileNetV2,1,4,2
MobileNetV2,2,0,78
MobileNetV2,2,1,85
MobileNetV2,2,2,80
MobileNetV2,2,3,27
MobileNetV2,2,4,15
MobileNetV2,3,0,8
MobileNetV2,3,1,8
MobileNetV2,3,2,8
MobileNetV2,3,3,21
MobileNetV2,3,4,8
MobileNetV2,4,0,5
MobileNetV2,4,1,9
MobileNetV2,4,2,6
MobileNetV2,4,3,14
MobileNetV2,4,4,31
ResNet50,0,0,722
ResNet50,0,1,73
ResNet50,0,2,23
ResNet50,0,3,4
ResNet50,0,4,6
ResNet50,1,0,55
ResNet50,1,1,56
ResNet50,1,2,18
ResNet50,1,3,1
ResNet50,1,4,2
ResNet50,2,0,72
ResNet50,2,1,55
ResNet50,2,2,99
ResNet50,2,3,43
ResNet50,2,4,16
ResNet50,3,0,6
ResNet50,3,1,3
ResNet50,3,2,16
ResNet50,3,3,22
ResNet50,3,4,6
ResNet50,4,0,2
ResNet50,4,1,5
ResNet50,4,2,15
ResNet50,4,3,17
ResNet50,4,4,26
