model,grade,precision,recall,f1,specificity
Custom CNN,0,0.678391959798995,0.9782608695652174,0.8011869436201781,0.2822429906542056
Custom CNN,1,0.3063063063063063,0.25757575757575757,0.27983539094650206,0.9374492282696995
Custom CNN,2,,0.0,,1.0
Custom CNN,3,0.07692307692307693,0.05660377358490566,0.06521739130434784,0.9725190839694656
Custom CNN,4,0.05263157894736842,0.015384615384615385,0.023809523809523808,0.9861325115562404
EfficientNetB0,0,0.7922912205567452,0.893719806763285,0.8399545970488081,0.6373831775700934
EfficientNetB0,1,0.25333333333333335,0.14393939393939395,0.18357487922705315,0.9545085296506904
EfficientNetB0,2,0.49404761904761907,0.2912280701754386,0.36644591611479027,0.9211502782931354
EfficientNetB0,3,0.2,0.2830188679245283,0.234375,0.9541984732824428
EfficientNetB0,4,0.25225225225225223,0.4307692307692308,0.3181818181818182,0.9360554699537751
MobileNetV2,0,0.8345070422535211,0.8586956521739131,0.8464285714285715,0.7364485981308411
MobileNetV2,1,0.2563176895306859,0.5378787878787878,0.3471882640586797,0.8326563769293257
MobileNetV2,2,0.7339449541284404,0.2807017543859649,0.40609137055837563,0.9730983302411874
MobileNetV2,3,0.328125,0.39622641509433965,0.35897435897435903,0.9671755725190839
MobileNetV2,4,0.5081967213114754,0.47692307692307695,0.4920634920634921,0.9768875192604006
ResNet50,0,0.8424737456242707,0.8719806763285024,0.856973293768546,0.7476635514018691
ResNet50,1,0.2916666666666667,0.42424242424242425,0.345679012345679,0.8895207148659626
ResNet50,2,0.5789473684210527,0.3473684210526316,0.4342105263157895,0.9332096474953617
ResNet50,3,0.25287356321839083,0.41509433962264153,0.3142857142857143,0.950381679389313
ResNet50,4,0.4642857142857143,0.4,0.4297520661157025,0.9768875192604006
