model,source,n,qwk,macro_auc,accuracy,macro_f1
Custom CNN,aptos,550,0.2835584954066054,0.7512037225899854,0.5436363636363636,0.26154489089275407
Custom CNN,eyepacs,550,-0.012055014272570608,0.538750664120823,0.72,0.16779661016949152
Custom CNN,messidor,263,0.032592460485543095,0.627425387835542,0.5817490494296578,0.17460180800688765
EfficientNetB0,aptos,550,0.675728117442127,0.8342111464190871,0.6272727272727273,0.4501035507372115
EfficientNetB0,eyepacs,550,0.2567236577520322,0.7038859269555408,0.6890909090909091,0.2630073590869956
EfficientNetB0,messidor,263,0.4692829145831766,0.7640852328720622,0.6121673003802282,0.41138068537509553
MobileNetV2,aptos,550,0.8108661946197918,0.9077787136174319,0.7272727272727273,0.5703748984889466
MobileNetV2,eyepacs,550,0.4279028770126576,0.723888848257975,0.6927272727272727,0.34298011413972035
MobileNetV2,messidor,263,0.5981591242923258,0.8203835167974545,0.5057034220532319,0.47653602653924876
ResNet50,aptos,550,0.8295966957348853,0.9032268401614045,0.7218181818181818,0.5517553321540032
ResNet50,eyepacs,550,0.40274969206978983,0.7682454309024394,0.7036363636363636,0.3286806665659979
ResNet50,messidor,263,0.6684095375829717,0.8291078499381064,0.5361216730038023,0.5012045252092773
