arch,train_source,test_source,setting,n,macro_auc,macro_f1,accuracy,macro_sensitivity,macro_specificity
Custom CNN,isic,isic,within,2091,0.7175852573920328,0.2822884036808889,0.4165471066475371,0.38584689663367017,0.8744584860487571
Custom CNN,isic,ham,cross,1444,0.7151187624557024,0.2045577696260841,0.39681440443213295,0.3099821903314243,0.8462682960074396
Custom CNN,ham,isic,cross,2091,0.6126342125821607,0.14482845485203963,0.2300334768053563,0.23868208812036004,0.8414380008222454
Custom CNN,ham,ham,within,1444,0.8433739609097327,0.33358735204947676,0.5997229916897507,0.41847658112658087,0.8973437610990529
MobileNetV2,isic,isic,within,2091,0.8646287505840952,0.47662179514683006,0.6929698708751794,0.48586887405015017,0.9298897190368914
MobileNetV2,isic,ham,cross,1444,0.8620255365199658,0.465201787459852,0.7763157894736842,0.44807587555842393,0.9082845724116702
MobileNetV2,ham,isic,cross,2091,0.7568223832193524,0.3197886016673251,0.4332855093256815,0.35720374922177883,0.8854091924113984
MobileNetV2,ham,ham,within,1444,0.8919275593422862,0.47132744339524774,0.7091412742382271,0.5607093978619714,0.9286748074725351
EfficientNetB0,isic,isic,within,2091,0.8758832936750939,0.4976258493002241,0.7006217120994739,0.4984233237019739,0.9294831633383457
EfficientNetB0,isic,ham,cross,1444,0.8363239579412989,0.4550684527152625,0.7555401662049861,0.43248473142162785,0.8907293192909246
EfficientNetB0,ham,isic,cross,2091,0.791402221948899,0.3157288318313291,0.4500239120038259,0.3548851769552173,0.8850973096131841
EfficientNetB0,ham,ham,within,1444,0.9377857794310817,0.6209898766165597,0.7340720221606648,0.6672770658198212,0.9385945932922309
ResNet50,isic,isic,within,2091,0.881112970087298,0.5045253705862377,0.697274031563845,0.4950678677527687,0.9299092244208659
ResNet50,isic,ham,cross,1444,0.7919441427548879,0.4078717897022886,0.7368421052631579,0.3689425179340801,0.8942030436091318
ResNet50,ham,isic,cross,2091,0.7600204892068326,0.3465459805672188,0.5145863223338115,0.36805323484013824,0.8910349176592153
ResNet50,ham,ham,within,1444,0.9500373495625181,0.6707054351745333,0.7970914127423823,0.6868400930987121,0.945680491595883
