arch,source,single_source_auc,pooled_auc,gap
custom,ham,0.8433739609097327,0.84861,0.005236039090267264
custom,isic,0.7175852573920328,0.697607,-0.01997825739203285
eff,ham,0.9377857794310817,0.946823,0.009037220568918314
eff,isic,0.8758832936750939,0.902703,0.026819706324906156
mob,ham,0.8919275593422862,0.928357,0.03642944065771381
mob,isic,0.8646287505840952,0.875058,0.01042924941590484
res,isic,0.8627972346272595,0.881361,0.018563765372740404
res,isic,0.8407599335152148,0.881361,0.04060106648478512
res,isic,0.881112970087298,0.881361,0.000248029912701897
res,isic,0.8407599335152148,0.881361,0.04060106648478512
res,isic,0.881112970087298,0.881361,0.000248029912701897
