model,class,precision,recall,f1,support,specificity
Custom CNN,bcc,0.4351648351648352,0.4057377049180328,0.41993637327677624,488.0,0.9156547423695438
Custom CNN,bkl,0.2067137809187279,0.3087071240105541,0.24761904761904763,379.0,0.8577313054499366
Custom CNN,df,0.04568527918781726,0.3,0.07929515418502203,30.0,0.9463623395149786
Custom CNN,melanoma,0.36351706036745407,0.4301242236024845,0.3940256045519203,644.0,0.8322379799377378
Custom CNN,nevus,0.7786154900616861,0.5810741687979539,0.6654950205038078,1955.0,0.7955696202531646
Custom CNN,vasc,0.21875,0.5384615384615384,0.3111111111111111,39.0,0.9785469107551488
MobileNetV2,bcc,0.7443181818181818,0.805327868852459,0.7736220472440944,488.0,0.9556941253692156
MobileNetV2,bkl,0.46034816247582205,0.6279683377308707,0.53125,379.0,0.9115969581749049
MobileNetV2,df,0.2,0.23333333333333334,0.2153846153846154,30.0,0.9920114122681883
MobileNetV2,melanoma,0.542203147353362,0.5885093167701864,0.5644080416976918,644.0,0.8893116568661363
MobileNetV2,nevus,0.8771929824561403,0.7672634271099744,0.8185538881309686,1955.0,0.8670886075949367
MobileNetV2,vasc,0.5,0.5897435897435898,0.5411764705882353,39.0,0.993421052631579
EfficientNetB0,bcc,0.76171875,0.7991803278688525,0.78,488.0,0.9599606170003282
EfficientNetB0,bkl,0.5435244161358811,0.6754617414248021,0.6023529411764705,379.0,0.9318757921419518
EfficientNetB0,df,0.27450980392156865,0.4666666666666667,0.345679012345679,30.0,0.9894436519258203
EfficientNetB0,melanoma,0.5593922651933702,0.6288819875776398,0.5921052631578947,644.0,0.8896575579384296
EfficientNetB0,nevus,0.8840413318025259,0.7877237851662404,0.8331079253448742,1955.0,0.8721518987341772
EfficientNetB0,vasc,0.6,0.5384615384615384,0.5675675675675675,39.0,0.9959954233409611
ResNet50,bcc,0.7927565392354124,0.8073770491803278,0.8,488.0,0.9661962586150312
ResNet50,bkl,0.5342465753424658,0.6174142480211082,0.572827417380661,379.0,0.935361216730038
ResNet50,df,0.1875,0.4,0.2553191489361702,30.0,0.9851640513552068
ResNet50,melanoma,0.6245551601423488,0.5450310559006211,0.582089552238806,644.0,0.9270148737461086
ResNet50,nevus,0.8672839506172839,0.8624040920716113,0.8648371377276225,1955.0,0.8367088607594937
ResNet50,vasc,0.6333333333333333,0.48717948717948717,0.5507246376811594,39.0,0.9968535469107551
